"","id","session","note.quality","food.present","no.intx.yes.no","tbl.lion.hyena.sessions.notes","session.error.notes","hy.id","time","order","behavior","target","distance","leader","food","tbl.lion.hyena.individual.behaviors.notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","rank.clan","rank","stan.rank","age.mon.lion","age.cat.lion","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist","diagnosis.time","toxo.status"
"132",13277,"t16815",3,TRUE,TRUE,"big male lion fd gnu carc, hyenas so ~35-100m - carc. several hyenas fat and/or bloody. hyenas mostly just wan a bit and then so watch lion eat (now 35-150m away), so obs lv. ""feed"" comes from tdum carrying sm gnu leg ~200m away from this scene",NA,"kip",07:37:00,0,"scan","lion",100,FALSE,NA,NA,"talek","k",1999-01-25,"07:32:00","07:44:00",1999,2,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,"talek",7,0.6,61.5,"adult","positive",1994-12-18,12.3,"subadult","low_tk","after","1"
"133",13282,"t16847",1,FALSE,FALSE,"bushes, low vis. lions following hyenas when arr (see 0755 event). 3 hyenas fat. hyenas get w/in 20m of lions at 0822 (closest specified distance they get within)","in predator box says ""hyenas follow lions too,"" but this is never specified. we only know that the lions followed the hyenas at one point. kip circled twice in notes (0755 & 0810)","bsh",08:22:00,0,"scan","lion",20,FALSE,NA,NA,"talek","o",1999-01-27,"07:55:00","08:33:00",1999,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,192.8,"adult","positive",1994-05-02,136,"adult","low_tk","after","1"
"134",13284,"t16847",1,FALSE,FALSE,"bushes, low vis. lions following hyenas when arr (see 0755 event). 3 hyenas fat. hyenas get w/in 20m of lions at 0822 (closest specified distance they get within)","in predator box says ""hyenas follow lions too,"" but this is never specified. we only know that the lions followed the hyenas at one point. kip circled twice in notes (0755 & 0810)","yet",08:22:00,0,"scan","lion",20,FALSE,NA,NA,"talek","o",1999-01-27,"07:55:00","08:33:00",1999,1,"m","r","kip","mike","1","1",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-07-18,NA,NA,NA,NA,NA,18.6,"subadult","positive",1998-10-20,15.4,"subadult","low_tk","after","1"
"135",13285,"t16847",1,FALSE,FALSE,"bushes, low vis. lions following hyenas when arr (see 0755 event). 3 hyenas fat. hyenas get w/in 20m of lions at 0822 (closest specified distance they get within)","in predator box says ""hyenas follow lions too,"" but this is never specified. we only know that the lions followed the hyenas at one point. kip circled twice in notes (0755 & 0810)","sx",08:22:00,0,"scan","lion",20,FALSE,NA,NA,"talek","o",1999-01-27,"07:55:00","08:33:00",1999,2,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",18,-0.133333333333333,111.4,"adult","positive",1990-12-28,14.5,"subadult","low_tk","after","1"
"136",13286,"t16847",1,FALSE,FALSE,"bushes, low vis. lions following hyenas when arr (see 0755 event). 3 hyenas fat. hyenas get w/in 20m of lions at 0822 (closest specified distance they get within)","in predator box says ""hyenas follow lions too,"" but this is never specified. we only know that the lions followed the hyenas at one point. kip circled twice in notes (0755 & 0810)","gob",08:26:00,0,"dist","lion",70,FALSE,NA,NA,"talek","o",1999-01-27,"07:55:00","08:33:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-07-17,NA,"adult","low_tk","after","1"
"137",13290,"t16847",1,FALSE,FALSE,"bushes, low vis. lions following hyenas when arr (see 0755 event). 3 hyenas fat. hyenas get w/in 20m of lions at 0822 (closest specified distance they get within)","in predator box says ""hyenas follow lions too,"" but this is never specified. we only know that the lions followed the hyenas at one point. kip circled twice in notes (0755 & 0810)","kip",08:26:00,0,"dist","lion",70,FALSE,NA,NA,"talek","o",1999-01-27,"07:55:00","08:33:00",1999,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,"talek",7,0.6,61.6,"adult","positive",1994-12-18,12.3,"subadult","low_tk","after","1"
"138",11326,"t1701.6",1,TRUE,TRUE,"hyena bloody. 20 minutes prior see hyena chasing gnus. now 1 adult lioness fd on gnu carc. sy wlk s along crk 100 or 200 m away from carc. (cant tell handwriting). es wlk up hill 200m from carc. no intx.",NA,"es",07:40:00,2,"dist",NA,200,FALSE,"gnu","gnu carcass being eaten by lion","talek","k",1991-09-01,"07:40:00","07:45:00",1991,1,"f","r","11",NA,NA,NA,NA,NA,NA,1996-05-07,"dls","inferred dead",1984-06-01,NA,"talek",NA,NA,NA,"talek",17,-0.6,87,"adult","positive",1991-08-22,86.7,"adult","low_tk","after","1"
"139",13293,"t17246",3,FALSE,TRUE,"3 fisi here when arr, so/behaving. lioness first mentioned at 1903: ""meanwhile: lioness so 100m - sein and jackals barking at lioness""","the female lion's age should be changed to adult, as she is referred to as a ""lioness""","sein",19:03:00,0,"dist","lion",100,FALSE,NA,NA,"talek","o",1999-02-25,"19:01:00","19:13:00",1999,1,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-02-25,"dls","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,"talek",3,0.866666666666667,47.2,"adult","positive",1997-07-16,27.8,"adult","low_tk","after","1"
"140",14454,"t1738",2,FALSE,TRUE,"kk and scy in bushes, lioness sits 100m from here. no intx.",NA,"23s",06:25:00,0,"scan","lion",100,FALSE,NA,NA,"talek","o",1991-09-14,"06:25:00","06:30:00",1991,1,"f","r","27",NA,NA,NA,NA,NA,NA,1995-03-25,"dls","lions",1983-06-01,NA,"talek",NA,NA,NA,"talek",15,-0.4,99.4,"adult","positive",1991-02-25,92.8,"adult","low_tk","after","1"
"141",9963,"t1738.6",2,FALSE,FALSE,"fas on fa 0700-0823.  this writing is very hard to read confusing sesion. i believe only 1 lion present obs switches from saying lioness to lion but does not say second lion appear. after lion intx combies come and scare hyenas. don<U+2019>t think gw or sb here.","missing bf from hyena list. cant find gw or sb in notes","dj",07:25:00,2,"dist",NA,5,FALSE,NA,"so","talek","o",1991-09-14,"07:00:00","08:23:00",1991,2,"f","r","n2",NA,NA,NA,NA,NA,NA,1996-10-27,"dls","lions",1985-11-15,NA,"talek",NA,NA,NA,"talek",3,0.8,69.9,"adult","positive",1991-01-19,62.1,"adult","low_tk","after","1"
"142",14460,"t1748.3",2,TRUE,TRUE,"7 lions don<U+2019>t know age/sex fd on gnu. no intx.",NA,"bud",06:59:00,0,"scan","lion",50,FALSE,NA,NA,"talek","k",1991-09-20,"06:59:00","08:00:00",1991,1,"m","r","bsh",NA,"1","2",1990-03-13,NA,NA,NA,NA,NA,1989-07-13,NA,"talek",1990-05-21,NA,NA,NA,NA,NA,26.2,"adult","positive",1990-12-01,16.6,"subadult","low_tk","after","1"
"143",878,"t17492",3,TRUE,FALSE,"zeb carc: ribs, spine, skull now. 1 ad m & 2 ad f lns fd carc when arr, but several hys hv good amts of food (zebra bones,legs,""meat"",skin).no dist from lns/carc given.in ci's(#fisi!).3 hys fat.cmbis arr 0654. fisi get carc from lions!!! baiting strt 0715","female lions should have their age changed from ""unknown"" to ""adult,"" since they are referred to at 0703 as ""lionesses""","jj",06:53:00,2,"dist",NA,10,FALSE,NA,"brt","talek","k",1999-03-17,"06:46:00","07:49:00",1999,1,"f","r","dj","zip","1","2",1993-03-29,NA,NA,2003-01-24,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,"talek",12,0.266666666666667,78,"adult","positive",1993-08-12,10.9,"cub","low_tk","after","1"
"144",2903,"t17789",3,TRUE,FALSE,"first location, arr & 2 young m lions 2 young female lions fd on ""something we can't see."" hyenas arr and st/lk 50m - lions. then obs flw fisi to 2nd location, where young ad male lion so & couple hys (so) already present","food is present (even though the obs can't see what it is), so context should be either ""k"" or ""c"" instead of ""o.""#lns should be 8 (6 sub m's, 2 sub f's):2 sub m's and 2 sub f's fd @st (4),hys lv wlk to 1 (5), 2 emerge (7), ends w/4 sub m's together(+1=8)","darw",17:46:00,1,"scan",NA,50,FALSE,NA,NA,"talek","c",1999-04-20,"17:46:00","18:26:00",1999,1,"m","r","jb","fa","0",NA,1996-12-24,NA,NA,NA,NA,NA,1996-07-01,NA,"talek",1997-06-01,NA,NA,NA,NA,NA,33.6,"adult","positive",1997-06-11,11.3,"cub","low_tk","after","1"
"145",2905,"t17789",3,TRUE,FALSE,"first location, arr & 2 young m lions 2 young female lions fd on ""something we can't see."" hyenas arr and st/lk 50m - lions. then obs flw fisi to 2nd location, where young ad male lion so & couple hys (so) already present","food is present (even though the obs can't see what it is), so context should be either ""k"" or ""c"" instead of ""o.""#lns should be 8 (6 sub m's, 2 sub f's):2 sub m's and 2 sub f's fd @st (4),hys lv wlk to 1 (5), 2 emerge (7), ends w/4 sub m's together(+1=8)","bos",17:46:00,1,"scan",NA,50,FALSE,NA,NA,"talek","c",1999-04-20,"17:46:00","18:26:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-01-22,NA,"adult","low_tk","after","1"
"146",2910,"t17789",3,TRUE,FALSE,"first location, arr & 2 young m lions 2 young female lions fd on ""something we can't see."" hyenas arr and st/lk 50m - lions. then obs flw fisi to 2nd location, where young ad male lion so & couple hys (so) already present","food is present (even though the obs can't see what it is), so context should be either ""k"" or ""c"" instead of ""o.""#lns should be 8 (6 sub m's, 2 sub f's):2 sub m's and 2 sub f's fd @st (4),hys lv wlk to 1 (5), 2 emerge (7), ends w/4 sub m's together(+1=8)","bsh",17:55:00,1,"mob","lion",80,FALSE,NA,"brt app","talek","c",1999-04-20,"17:46:00","18:26:00",1999,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,195.6,"adult","positive",1994-05-02,136,"adult","low_tk","after","1"
"147",2922,"t17789",3,TRUE,FALSE,"first location, arr & 2 young m lions 2 young female lions fd on ""something we can't see."" hyenas arr and st/lk 50m - lions. then obs flw fisi to 2nd location, where young ad male lion so & couple hys (so) already present","food is present (even though the obs can't see what it is), so context should be either ""k"" or ""c"" instead of ""o.""#lns should be 8 (6 sub m's, 2 sub f's):2 sub m's and 2 sub f's fd @st (4),hys lv wlk to 1 (5), 2 emerge (7), ends w/4 sub m's together(+1=8)","sein",18:05:00,1,"dist",NA,1,FALSE,NA,"""by""","talek","c",1999-04-20,"17:46:00","18:26:00",1999,4,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-02-25,"dls","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,"talek",3,0.866666666666667,48.9,"adult","positive",1997-07-16,27.8,"adult","low_tk","after","1"
"148",2923,"t17789",3,TRUE,FALSE,"first location, arr & 2 young m lions 2 young female lions fd on ""something we can't see."" hyenas arr and st/lk 50m - lions. then obs flw fisi to 2nd location, where young ad male lion so & couple hys (so) already present","food is present (even though the obs can't see what it is), so context should be either ""k"" or ""c"" instead of ""o.""#lns should be 8 (6 sub m's, 2 sub f's):2 sub m's and 2 sub f's fd @st (4),hys lv wlk to 1 (5), 2 emerge (7), ends w/4 sub m's together(+1=8)","mrph",18:05:00,1,"dist",NA,1,FALSE,NA,"""by""","talek","c",1999-04-20,"17:46:00","18:26:00",1999,4,"f","r","bsh",NA,"1","1",1996-12-24,NA,NA,2011-04-11,"dead","lions",1996-06-25,NA,"talek",1997-06-01,NA,NA,"talek",2,0.933333333333333,33.8,"adult","positive",1997-06-07,11.4,"cub","low_tk","after","1"
"149",13295,"t17926",3,FALSE,TRUE,"1 hyena fat. 11 lions (no age/sex specified) so w/in 100m - hyenas. hyenas just wlk/ so/ st/lk / wan/snf",NA,"csn",06:41:00,0,"dist","lion",100,FALSE,NA,NA,"talek","o",1999-04-27,"06:37:00","06:43:00",1999,1,"f","r","bsh","fn","0",NA,1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,NA,NA,NA,14.3,"subadult","positive",1999-01-29,11.4,"cub","low_tk","after","1"
"150",13296,"t17926",3,FALSE,TRUE,"1 hyena fat. 11 lions (no age/sex specified) so w/in 100m - hyenas. hyenas just wlk/ so/ st/lk / wan/snf",NA,"cuj",06:41:00,0,"dist","lion",100,FALSE,NA,NA,"talek","o",1999-04-27,"06:37:00","06:43:00",1999,1,"m","r","kip",NA,"1","2",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-08-06,NA,NA,NA,NA,NA,21.6,"subadult","doubtful",1999-05-11,22,"subadult","low_tk","before","0"
"151",13299,"t17955",3,TRUE,TRUE,"sx chasing/testing tommies, & at one point st/lk 30m - 11 lions (no age/sex given, must be same ones as at 17955; is next morning). later come upon kip (fat) away from lions, who is ""fd on caterpillars,"" hence the food present & scraps","the context for this session should be ""c,"" because kip fds on caterpillars","sx",07:28:00,0,"dist","lion",30,FALSE,NA,NA,"talek","c",1999-04-28,"06:50:00","07:48:00",1999,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",18,-0.133333333333333,114.4,"adult","positive",1990-12-28,14.5,"subadult","low_tk","after","1"
"152",1244,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","gob",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-07-17,NA,"adult","low_tk","after","1"
"153",1247,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","cuj",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","r","kip",NA,"1","2",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-08-06,NA,NA,NA,NA,NA,21.7,"subadult","doubtful",1999-05-11,22,"subadult","low_tk","before","0"
"154",1248,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","mrph",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","bsh",NA,"1","1",1996-12-24,NA,NA,2011-04-11,"dead","lions",1996-06-25,NA,"talek",1997-06-01,NA,NA,"talek",2,0.933333333333333,34.2,"adult","positive",1997-06-07,11.4,"cub","low_tk","after","1"
"155",1249,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","kip",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,"talek",7,0.6,64.7,"adult","positive",1994-12-18,12.3,"subadult","low_tk","after","1"
"156",1250,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","darw",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","r","jb","fa","0",NA,1996-12-24,NA,NA,NA,NA,NA,1996-07-01,NA,"talek",1997-06-01,NA,NA,NA,NA,NA,34,"adult","positive",1997-06-11,11.3,"cub","low_tk","after","1"
"157",1251,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","bsh",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,195.9,"adult","positive",1994-05-02,136,"adult","low_tk","after","1"
"158",1252,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","csn",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","bsh","fn","0",NA,1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,NA,NA,NA,14.5,"subadult","positive",1999-01-29,11.4,"cub","low_tk","after","1"
"159",1254,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","bos",08:12:00,1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-01-22,NA,"adult","low_tk","after","1"
"160",1264,"t18010",3,TRUE,FALSE,"ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). so num lions is a min","number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). it is likely there are 11, and might even be 12","fn",08:18:00,1,"dist",NA,5,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,3,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1991-07-11,NA,"adult","low_tk","after","1"
"161",13300,"t18128",2,FALSE,TRUE,"sx fat. oly st/lk at 30m-4 male lions (age not given). other hyenas so/ st/lk, but distances from one another and/or lions not given",NA,"oly",07:05:00,0,"scan","lion",30,FALSE,NA,NA,"talek","o",1999-05-07,"07:05:00","07:10:00",1999,1,"m","r","gil","fn","1","1",1996-06-24,NA,NA,NA,NA,NA,1995-11-07,NA,"talek",1996-09-17,NA,NA,NA,NA,NA,42,"adult","positive",1997-06-12,19.2,"subadult","low_tk","after","1"
"162",14462,"t1837.2",2,TRUE,TRUE,"2 adult male lions feed on fresh gnu kill. fn skulks 150m away then lopes n. no intx",NA,"fn",06:55:00,0,"scan","lion",150,FALSE,NA,NA,"talek","k",1991-11-05,"06:55:00","07:00:00",1991,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1991-07-11,NA,"adult","low_tk","after","1"
"163",11349,"t18412",1,TRUE,TRUE,"lions here when arr w/zebra carcass (2 big males, 3 lionesses). hys st/lk ~40m - carc. only true scan done is the initial scan, so don't know what hyenas or lions were doing at end","female lions should have their age changed to ""adult,"" as they are referred to as ""lionesses""","amar",07:59:00,1,"dist",NA,40,FALSE,"zebra","st/lk","talek","k",1999-05-26,"07:59:00","08:23:00",1999,1,"f","r","ua","fn","1","1",1995-10-24,NA,NA,2003-06-13,"dls","inferred dead",1995-01-25,NA,"talek",1996-07-15,NA,NA,"talek",21,-0.333333333333333,52,"adult","positive",1995-10-25,9,"cub","low_tk","after","1"
"164",11350,"t18412",1,TRUE,TRUE,"lions here when arr w/zebra carcass (2 big males, 3 lionesses). hys st/lk ~40m - carc. only true scan done is the initial scan, so don't know what hyenas or lions were doing at end","female lions should have their age changed to ""adult,"" as they are referred to as ""lionesses""","cr",07:59:00,2,"dist",NA,40,FALSE,"zebra","st/lk","talek","k",1999-05-26,"07:59:00","08:23:00",1999,1,"f","r","ot",NA,"1","1",1994-04-02,NA,NA,2002-03-03,"dls","inferred dead",1993-08-15,NA,"talek",1994-08-01,NA,NA,"talek",19,-0.2,69.3,"adult","positive",1994-05-24,9.3,"cub","low_tk","after","1"
"165",13301,"t18492",3,FALSE,TRUE,"darw emerge wlk - w, amar so 100m - 5 young male lions (so)",NA,"amar",06:39:00,0,"scan","lion",100,FALSE,NA,NA,"talek","o",1999-06-01,"06:39:00","06:44:00",1999,1,"f","r","ua","fn","1","1",1995-10-24,NA,NA,2003-06-13,"dls","inferred dead",1995-01-25,NA,"talek",1996-07-15,NA,NA,"talek",21,-0.333333333333333,52.2,"adult","positive",1995-10-25,9,"cub","low_tk","after","1"
"166",11351,"t18574",1,TRUE,TRUE,"""so many combies i can't see well."" carc unidentified. 2 male lions fd carc when arr, 1 hy st/lk 40m - carc, another so (no distance), another st/lk 100m - carc. 1 hy obese bloody, 1 hy just bloody",NA,"stg",07:53:00,1,"dist",NA,100,FALSE,NA,"obsese bloody, st/lk","talek","k",1999-06-06,"07:46:00","08:00:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-07-02,NA,"adult","low_tk","after","1"
"167",14463,"t1862",2,TRUE,TRUE,"3 adult male lions and 4 adult female lions. hyenas so or st/lk at lions fding on adult gnu whole session. lions are 170m away in beginning.","quai is quail in notes","quai",07:43:00,0,"scan","lion",170,FALSE,NA,NA,"talek","k",1991-11-15,"07:43:00","08:20:00",1991,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1993-06-21,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1990-12-28,NA,"adult","low_tk","after","1"
"168",7109,"t1863.1",2,TRUE,FALSE,"gnu kill site from 1862.","quai is quail in notes","quai",18:55:00,1,"dist",NA,150,FALSE,NA,NA,"talek","k",1991-11-15,"18:45:00","18:55:00",1991,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1993-06-21,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1990-12-28,NA,"adult","low_tk","after","1"
"169",14467,"t1868.2",2,TRUE,TRUE,"3 adult lions fd on adult gnu carcass. 23s eats scapula. no intx.",NA,"23s",08:38:00,0,"scan","lion",75,FALSE,NA,NA,"talek","k",1991-11-18,"08:25:00","08:38:00",1991,2,"f","r","27",NA,NA,NA,NA,NA,NA,1995-03-25,"dls","lions",1983-06-01,NA,"talek",NA,NA,NA,"talek",15,-0.4,101.6,"adult","positive",1991-02-25,92.8,"adult","low_tk","after","1"
"170",14468,"t1868.2",2,TRUE,TRUE,"3 adult lions fd on adult gnu carcass. 23s eats scapula. no intx.",NA,"bud",08:38:00,0,"scan","lion",75,FALSE,NA,NA,"talek","k",1991-11-18,"08:25:00","08:38:00",1991,2,"m","r","bsh",NA,"1","2",1990-03-13,NA,NA,NA,NA,NA,1989-07-13,NA,"talek",1990-05-21,NA,NA,NA,NA,NA,28.2,"adult","positive",1990-12-01,16.6,"subadult","low_tk","after","1"
"171",14471,"t1878",2,TRUE,TRUE,"more than 14 lions fd on and adult gnu. hyenas only find leg with some meat and skin. no intx.",NA,"zip",08:09:00,0,"scan","lion",125,FALSE,NA,NA,"talek","k",1991-11-21,"08:09:00","08:30:00",1991,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1994-04-21,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"doubtful",1992-04-11,NA,"adult","low_tk","before","0"
"172",14474,"t1906.3",2,FALSE,TRUE,"4 adult lionesses 60m e of coch/sx. no intx.",NA,"sx",06:56:00,0,"scan","lion",60,FALSE,NA,NA,"talek","o",1991-12-03,"06:56:00","07:01:00",1991,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,NA,NA,NA,25.6,"adult","positive",1990-12-28,14.5,"subadult","low_tk","after","1"
"173",1889,"t19178",3,TRUE,FALSE,"food=adult zebra carcass. male hyenas loping arnd, brt soc snf etc., come upon area where lionesses emerge, later find 2 lions (1 a big male) feeding zeb carc. unclear who is in possession of main carcass at end (everyone seems to have large pieces)","bos incorrectly written as ""bps"" at 0753. there are 4 lions present this session, 2 lionesses (females should have age changed to adult) that emerge culvert 13 l s @0801, 1 unk age/sex that fd zebra @0809, & 1 adult male (""big male"") that fd zebra @0809","bos",08:12:00,1,"dist",NA,50,FALSE,NA,NA,"talek","k",1999-07-23,"07:51:00","08:26:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-01-22,NA,"adult","low_tk","after","1"
"174",1890,"t19178",3,TRUE,FALSE,"food=adult zebra carcass. male hyenas loping arnd, brt soc snf etc., come upon area where lionesses emerge, later find 2 lions (1 a big male) feeding zeb carc. unclear who is in possession of main carcass at end (everyone seems to have large pieces)","bos incorrectly written as ""bps"" at 0753. there are 4 lions present this session, 2 lionesses (females should have age changed to adult) that emerge culvert 13 l s @0801, 1 unk age/sex that fd zebra @0809, & 1 adult male (""big male"") that fd zebra @0809","sim",08:12:00,1,"dist",NA,50,FALSE,NA,NA,"talek","k",1999-07-23,"07:51:00","08:26:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1996-07-28,NA,"adult","low_tk","after","1"
