"SPratio","diagnosis","id","date","sex","status","first_seen","den_grad","disappeared","mom","birthdate","clan","start.date","stop.date","lh.sessions","lh.sessions.pres","ratio.sessions.present","lh.intx","lh.intx.pres","ratio.intx.present","ratio.intx.sessions.present"
"0.05","negative","hob",1992-06-14,"f","r",1991-07-20,1992-04-07,1999-05-06,"es",1991-07-20,"talek","1992-04-07","1992-06-14",14,1,0.0714285714285714,10,1,0.1,0.0714285714285714
"0.16","negative","ger",1993-07-12,"f","r",1992-11-29,1993-06-08,2005-06-02,"coch",1992-11-07,"talek","1993-06-08","1993-07-12",0,0,,0,0,,
"0.7","positive","bern",1993-07-19,"f","r",1992-12-26,1993-06-11,2000-09-04,"lg",1992-10-01,"talek","1993-07-19","2000-09-04",263,20,0.0760456273764259,127,4,0.031496062992126,0.0152091254752852
"0.6","positive","baj",1993-07-14,"m","r",1993-01-11,1994-01-01,1996-11-18,"bb",1993-01-01,"talek","1993-07-14","1996-11-18",111,9,0.0810810810810811,48,1,0.0208333333333333,0.00900900900900901
"-0.01","negative","gil",1993-07-18,"f","r",1992-08-08,1993-03-10,1998-10-26,"bsh",1992-08-01,"talek","1993-03-10","1993-07-18",11,4,0.363636363636364,4,0,0,0
"0.13","negative","gol",1992-05-26,"f","r",1991-07-20,1992-04-07,2001-03-15,"es",1991-07-20,"talek","1992-04-07","1992-05-26",8,1,0.125,6,1,0.166666666666667,0.125
"0.82","positive","jab",1992-12-08,"f","r",1992-02-03,1992-10-21,1998-04-26,"bb",1992-02-02,"talek","1992-12-08","1998-04-26",184,48,0.260869565217391,83,11,0.132530120481928,0.0597826086956522
"0.62","positive","krk",1992-12-09,"m","r",1992-02-19,1992-08-15,1994-02-06,"kb",1992-01-10,"talek","1992-12-09","1994-02-06",42,10,0.238095238095238,18,2,0.111111111111111,0.0476190476190476
"0.76","positive","rm",1994-08-27,"f","r",1993-08-20,1994-03-23,1996-09-12,"ua",1993-07-07,"talek","1994-08-27","1996-09-12",66,10,0.151515151515152,27,1,0.037037037037037,0.0151515151515152
"0.87","positive","kl",1994-12-17,"f","r",1993-08-20,1994-03-23,1994-12-30,"ua",1993-07-07,"talek","1994-12-17","1994-12-30",1,0,0,1,0,0,0
"0.08","negative","pf",1996-06-21,"m","r",1995-06-21,1995-11-01,1996-07-28,"bail",1995-05-20,"talek","1995-11-01","1996-06-21",31,0,0,14,0,0,0
"0.94","positive","arse",1996-08-09,"f","r",1995-05-06,1995-10-22,1996-08-09,"bsh",1995-03-22,"talek","1996-08-09","1996-08-09",0,0,,0,0,,
"0.97","positive","bud",1990-12-01,"m","r",1989-08-11,1990-03-13,1992-07-18,"bsh",1989-07-13,"talek","1990-12-01","1992-07-18",91,12,0.131868131868132,71,8,0.112676056338028,0.0879120879120879
"0.77","positive","oly",1997-06-12,"m","r",1995-12-28,1996-06-24,1999-06-20,"gil",1995-11-07,"talek","1997-06-12","1999-06-20",79,15,0.189873417721519,42,4,0.0952380952380952,0.0506329113924051
"0.65","positive","sks",1997-07-31,"m","r",1995-11-25,1996-05-30,1998-04-21,"ot",1995-10-16,"talek","1997-07-31","1998-04-21",18,2,0.111111111111111,9,0,0,0
"0.9","positive","ldv",1999-03-07,"m","r",1997-12-19,1998-10-25,2007-04-24,"hg",1997-11-24,"talek","1999-03-07","2007-04-24",282,78,0.276595744680851,172,29,0.168604651162791,0.102836879432624
"0.62","positive","yet",1998-10-20,"m","r",1997-07-15,1998-03-18,2001-03-13,"kip",1997-07-09,"talek","1998-10-20","2001-03-13",97,10,0.103092783505155,54,4,0.0740740740740741,0.0412371134020619
"0.36","negative","whh",1999-02-22,"f","r",1998-05-29,1998-10-02,2004-10-22,"nav",1998-02-28,"talek","1998-10-02","1999-02-22",25,2,0.08,14,1,0.0714285714285714,0.04
"0.44","doubtful","cuj",1999-05-11,"m","r",1997-07-15,1998-03-18,2001-06-03,"kip",1997-07-09,"talek","1998-03-18","1999-05-11",47,3,0.0638297872340425,26,2,0.0769230769230769,0.0425531914893617
"0.41","doubtful","ali",1999-04-26,"f","r",1997-09-07,1998-08-18,2017-06-11,"bb",1997-08-04,"talek","1998-08-18","1999-04-26",32,2,0.0625,16,0,0,0
"0.66","positive","foz",1999-08-19,"m","r",1998-03-23,1998-10-21,2011-04-12,"hob",1997-12-15,"talek","1999-08-19","2011-04-12",367,75,0.204359673024523,226,18,0.079646017699115,0.0490463215258856
"0.45","doubtful","sco",1999-10-25,"m","r",1998-03-23,1998-10-14,2002-07-24,"hob",1997-12-15,"talek","1998-10-14","1999-10-25",53,6,0.113207547169811,29,3,0.103448275862069,0.0566037735849057
"0.76","positive","sx",1990-12-28,"f","r",1989-11-21,1990-04-24,2000-07-07,"coch",1989-10-14,"talek","1990-12-28","2000-07-07",387,80,0.20671834625323,215,27,0.125581395348837,0.0697674418604651
"0.45","doubtful","pp",1991-07-11,"m","r",1990-06-30,1991-05-21,1993-10-12,"dps",1990-06-03,"talek","1991-05-21","1991-07-11",8,1,0.125,4,0,0,0
